subj,stim_period,stim_slash,stim_nan,stim_total,stim_period%,total_response%,avg_rt,c1_resp,c1_total,c1%,c1_0,c1_0trialN,c1_1,c1_1trialN,c1_2,c1_2trialN,c1_3,c1_3trialN,c2_resp,c2_total,c2_resp%,c2_overall_accuracy,c2_0,c2_0trialN,c2_1,c2_1trialN,c2_2,c2_2trialN,c2_3,c2_3trialN
02,168,74,32,274,69.42,88.32,1.23,148,158,93.67,0.0,-1,1.0,3,1.0,4,0.98,7,66,147,0.45,36.05,0.22,0,0.33,5,0.42,6,0.36,9
03,101,21,146,268,82.79,45.52,0.92,156,167,93.41,0.92,-1,0.9,3,0.94,5,0.96,9,150,163,0.92,40.49,0.46,0,0.4,2,0.43,4,0.36,7
04,91,31,149,271,74.59,45.02,0.51,150,160,93.75,1.0,-1,0.94,1,0.92,5,0.94,7,124,152,0.82,43.42,0.64,0,0.41,3,0.44,6,0.4,9
05,158,103,24,285,60.54,91.58,1.01,162,167,97.01,1.0,-1,0.96,1,1.0,5,0.94,7,150,161,0.93,44.1,0.36,0,0.48,3,0.43,6,0.43,9
06,226,32,14,272,87.6,94.85,1.4,163,170,95.88,0.92,-1,0.98,3,0.98,4,0.92,7,141,158,0.89,36.71,0.36,0,0.41,5,0.35,6,0.34,9
07,146,33,96,275,81.56,65.09,1.05,157,163,96.32,1.0,-1,0.96,3,0.98,5,0.94,9,54,142,0.38,33.1,0.44,0,0.38,2,0.28,4,0.31,7
08,162,103,25,290,61.13,91.38,1.12,165,171,96.49,1.0,-1,0.98,3,0.98,7,0.92,8,99,148,0.67,37.16,0.4,0,0.45,1,0.36,2,0.29,6
09,161,68,56,285,70.31,80.35,1.13,154,161,95.65,0.91,-1,0.98,3,0.94,4,0.96,9,107,152,0.7,39.47,0.3,0,0.38,2,0.43,5,0.4,7
10,226,46,4,276,83.09,98.55,1.05,159,165,96.36,0.91,-1,0.96,3,0.96,4,0.98,8,151,158,0.96,36.71,0.5,0,0.4,1,0.33,5,0.33,6
11,91,28,174,293,76.47,40.61,0.37,136,160,85.0,0.92,-1,0.94,1,0.92,5,0.67,6,94,150,0.63,32.67,0.45,0,0.27,4,0.34,8,0.33,9
12,177,56,44,277,75.97,84.12,1.44,160,164,97.56,0.92,-1,0.98,5,0.96,8,1.0,9,133,156,0.85,37.18,0.55,0,0.39,1,0.31,2,0.38,7
13,162,52,58,272,75.7,78.68,1.28,120,156,76.92,0.92,-1,0.4,2,0.92,5,0.9,8,137,158,0.87,38.61,0.45,0,0.38,3,0.31,7,0.45,9
14,191,64,33,288,74.9,88.54,1.33,158,166,95.18,1.0,-1,0.96,3,0.92,4,0.96,9,147,161,0.91,40.99,0.3,0,0.45,1,0.37,2,0.43,5
15,238,35,16,289,87.18,94.46,0.96,140,159,88.05,1.0,-1,0.92,2,0.88,7,0.81,8,118,154,0.77,42.21,0.36,0,0.47,4,0.46,5,0.35,9
16,66,49,155,270,57.39,42.59,0.62,149,164,90.85,1.0,-1,0.88,5,0.91,7,0.92,8,113,152,0.74,33.55,0.11,0,0.45,2,0.22,3,0.38,6
17,220,41,12,273,84.29,95.6,1.11,165,168,98.21,1.0,-1,1.0,5,1.0,8,0.95,9,138,157,0.88,39.49,0.6,0,0.35,2,0.33,4,0.46,6
18,141,61,76,278,69.8,72.66,1.36,158,168,94.05,1.0,-1,0.98,4,0.92,6,0.91,7,143,160,0.89,43.13,0.18,0,0.4,1,0.48,3,0.46,8
19,156,100,19,275,60.94,93.09,1.33,162,169,95.86,1.0,-1,0.94,1,0.98,6,0.94,9,133,158,0.84,39.24,0.3,0,0.37,3,0.3,5,0.53,8
20,268,12,1,281,95.71,99.64,1.01,157,162,96.91,1.0,-1,0.96,5,0.96,6,0.98,9,154,165,0.93,45.45,0.5,0,0.45,1,0.39,3,0.51,4
